"Ajatempel (UTC)";"Kuupäev (Eesti aeg)";"NPS Eesti"
"1623837600";"16.06.2021 13:00";"89,97"
"1623841200";"16.06.2021 14:00";"89,98"
"1623844800";"16.06.2021 15:00";"89,91"
"1623848400";"16.06.2021 16:00";"80,97"
"1623852000";"16.06.2021 17:00";"85,5"
"1623855600";"16.06.2021 18:00";"92,64"
"1623859200";"16.06.2021 19:00";"102,53"
"1623862800";"16.06.2021 20:00";"118,05"
"1623866400";"16.06.2021 21:00";"108,85"
"1623870000";"16.06.2021 22:00";"98,42"
"1623873600";"16.06.2021 23:00";"86,18"
"1623877200";"17.06.2021 00:00";"67,3"
