"Ajatempel (UTC)";"Kuupäev (Eesti aeg)";"NPS Eesti"
"1623877200";"17.06.2021 00:00";"67,3"
"1623880800";"17.06.2021 01:00";"58,87"
"1623884400";"17.06.2021 02:00";"52"
"1623888000";"17.06.2021 03:00";"41,87"
"1623891600";"17.06.2021 04:00";"36,27"
"1623895200";"17.06.2021 05:00";"46,56"
"1623898800";"17.06.2021 06:00";"64,54"
"1623902400";"17.06.2021 07:00";"79,4"
"1623906000";"17.06.2021 08:00";"99,65"
"1623909600";"17.06.2021 09:00";"104"
"1623913200";"17.06.2021 10:00";"97,99"
"1623916800";"17.06.2021 11:00";"89,99"
"1623920400";"17.06.2021 12:00";"124,89"
"1623924000";"17.06.2021 13:00";"99,92"
"1623927600";"17.06.2021 14:00";"90,55"
"1623931200";"17.06.2021 15:00";"86,15"
"1623934800";"17.06.2021 16:00";"73,82"
"1623938400";"17.06.2021 17:00";"70,25"
"1623942000";"17.06.2021 18:00";"55,07"
"1623945600";"17.06.2021 19:00";"92,14"
"1623949200";"17.06.2021 20:00";"109,54"
"1623952800";"17.06.2021 21:00";"100,98"
"1623956400";"17.06.2021 22:00";"88,08"
"1623960000";"17.06.2021 23:00";"81,1"
"1623963600";"18.06.2021 00:00";"54,96"
