Ajatempel (UTC);"Kuupäev (Eesti aeg)";"NPS Eesti"	
1623358800;"11.06.2021 00:00";"79	51"
1623362400;"11.06.2021 01:00";"78	03"
1623366000;"11.06.2021 02:00";"71	46"
1623369600;"11.06.2021 03:00";"66	47"
1623373200;"11.06.2021 04:00";"64	98"
1623376800;"11.06.2021 05:00";"64	74"
1623380400;"11.06.2021 06:00";"68	47"
1623384000;"11.06.2021 07:00";"89	71"
1623387600;"11.06.2021 08:00";"103	64"
1623391200;"11.06.2021 09:00";"108	62"
1623394800;"11.06.2021 10:00";"98	96"
1623398400;"11.06.2021 11:00";"82	3"
1623402000;"11.06.2021 12:00";"83	07"
1623405600;"11.06.2021 13:00";"80	31"
1623409200;"11.06.2021 14:00";"77	53"
1623412800;"11.06.2021 15:00";"75"	
1623416400;"11.06.2021 16:00";"71	61"
1623420000;"11.06.2021 17:00";"74	83"
1623423600;"11.06.2021 18:00";"77	65"
1623427200;"11.06.2021 19:00";"82	98"
1623430800;"11.06.2021 20:00";"88	07"
1623434400;"11.06.2021 21:00";"89	92"
1623438000;"11.06.2021 22:00";"86	08"
1623441600;"11.06.2021 23:00";"83	41"
